fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,04,ASSAM,0408,DARRANG,178040,18908.5106382979,1,0,0,31,63,2751,47,0,6159,0,904,0,8.887,29,47,126246,237592,0,222604,381597,2782,8.887,20,40,42.54,48.93,0,NA
2025-2026,April,04,ASSAM,0412,Morigaon,122845,94550.2666666667,1,0,0,9,52,9077,60,9,24612,6,29999,0,56.73016,49,60,120819,217068,0,223325,360118,9086,56.73016,19,76,89.95,1.68,0,NA
2025-2026,April,04,ASSAM,0421,Sribhumi,219153,0,0,0,0,76,85,8896,0,0,19413,0,1613,0,5.76296,0,0,110076,149141,0,224836,280438,8972,5.76296,0,85,0,0,0,NA
2025-2026,April,04,ASSAM,0433,BAJALI,57105,261060.25,2,0,0,3,12,1480,8,0,1697,0,1407,0,20.88482,4,4,31531,61243,0,63503,112476,1483,20.88482,4,52,0,0,0,NA
2018-2019,June,04,ASSAM,0411,DHEMAJI,535666,173.706466130642,26,31,114.168175969,890,2,3652,588157,9836,11186,378707,164758,0,1135.834915969,22110,41001,89146,341140,2,136458,461438,4542,1021.66674,263793,52,84.68,72.25,100.74,NA
2018-2019,June,04,ASSAM,0420,Dima Hasao,195885,146.868355463882,15,1,18.988717174,22,8,1540,46542,173,795,44528,53387,0,87.344187174,3015,3379,22268,57841,1,31864,78226,1562,68.35547,14938,65,98.03,89.21,106.14,NA
2018-2019,June,04,ASSAM,0426,KAMRUP (METRO),47882,163.373447907244,14,1,0,34,1,1523,24322,3874,5741,7998,7856,0,39.73569,1682,1983,11850,25356,3,43710,85372,1557,39.73569,11979,94,83.5,59.26,100,NA
2018-2019,June,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,0,75.5440122468861,13,0,62.666047429,6,19,451,14371,17,514,560,75,0,73.522477429,1047,1109,14452,21316,0,38514,54997,457,10.85643,5687,51,86.16,86.16,375.42,NA
2019-2020,Feb,04,ASSAM,0401,DHUBRI,3023732,195.884653919589,38,178,1339.721039065,3195,0,8417,3248797,30025,3312,1182,180,0,7703.615799065,83627,166760,130901,352688,878,232965,543093,11612,6363.89476,1317316,80,43.7,73.55,108.52,NA
2019-2020,Feb,04,ASSAM,0403,BONGAIGAON,708885,192.856916164187,23,40,279.053209464,1426,0,2922,714623,35808,11496,7611,2507,9,1666.253089464,30495,44591,62715,165569,262,124388,299609,4348,1378.19988,283253,70,46.06,63.66,102.57,NA
2019-2020,Feb,04,ASSAM,0404,GOALPARA,627574,178.775635175509,21,81,107.886788024,128,0,8262,643641,21008,7018,147530,46971,0,1258.560074024,29464,41936,75781,183231,81,158437,328265,8390,1150.673286,289901,92,79.21,67.98,100.39,NA
2019-2020,Feb,04,ASSAM,0406,NALBARI,2533366,170.946255464273,40,36,761.629645044,1668,0,4188,2559810,60524,6183,38969,4014,0,5137.528987044,63089,82951,91127,164451,1457,161482,268615,5856,4375.899342,958405,64,55.96,74.22,111.8,NA
2019-2020,Feb,04,ASSAM,0408,DARRANG,1024864,190.077237848892,30,64,581.271069307001,2839,0,5244,1015607,27694,5471,3440,697,15,2526.708802307,33620,54877,76890,177193,238,171317,340020,8083,1930.437733,443027,87,69.72,50.3,100.16,NA
2019-2020,Feb,04,ASSAM,0414,GOLAGHAT,1158316,183.850351795681,19,66,336.638574509,4116,0,10117,1185205,61626,13566,158657,33773,0,2515.642136509,60550,80336,125299,257942,150,184419,361565,14233,2179.003562,502544,90,79.93,61.54,100.58,NA
2019-2020,Feb,04,ASSAM,0417,DIBRUGARH,1445813,183.146023271531,19,171,324.631177639,1435,0,6134,1503296,54450,8629,179654,28312,0,3077.858019639,77399,104087,126032,243809,345,192661,335032,7569,2753.226842,728954,80,74.39,72.43,100.55,NA
2019-2020,Feb,04,ASSAM,0418,TINSUKIA,643087,181.286049909794,19,47,181.155509294,1210,1,8672,647408,9561,2565,52984,15440,0,1354.815899294,33703,42229,88504,148407,125,169229,249237,9882,1173.66039,282932,86,84.03,79.17,100.61,NA
2019-2020,Feb,04,ASSAM,0421,KARIMGANJ,2604358,190.610548123712,29,83,268.468563085,7107,0,7585,2621452,313211,24792,19483,2077,0,5265.232589085,87575,100948,124624,176116,690,227253,297998,14692,4996.764026,891136,83,93.89,77.85,100.27,NA
2019-2020,Feb,04,ASSAM,0422,HAILAKANDI,755438,178.804622149058,23,32,384.094693497,1072,0,2068,803068,75509,10857,18128,2561,28.12,1848.137396497,33645,38359,80313,152973,43,135340,236621,3140,1435.922703,187205,88,65.87,59.92,103.34,NA
2019-2020,Feb,04,ASSAM,0424,BAKSA,2074910,189.549040371137,25,137,319.434713402,2903,0,13004,2156615,150607,23690,840120,119740,14.2,4421.477750402,83887,99985,155679,279649,192,246126,413363,15907,4087.843037,1057422,90,70.31,67.47,100.78,NA
2020-2021,Jan,04,ASSAM,0405,BARPETA,3873405,204.630266918415,38,1217,4103.536512675,5770,0,18332,3872644,80124,10773,43925,4478,0,12028.138266675,100845,162341,196562,427865,3210,341577,685698,24102,7924.601754,1607549,70,65.41,74.2,100.54,NA
2020-2021,Jan,04,ASSAM,0408,DARRANG,2210054,196.231396442141,37,85,217.027726969,2295,0,8072,2204753,62026,6514,6398,929,0,4543.445326969,58233,97083,100759,223938,1968,184213,358765,10367,4326.4176,990482,70,80.98,69.84,100.43,NA
2020-2021,Jan,04,ASSAM,0410,LAKHIMPUR,4046408,199.944680289942,40,168,2235.847769206,2892,0,18218,4042053,158739,16491,1013673,100547,0,10317.717717206,100106,182201,150776,369115,6039,242641,510021,21110,8081.869948,2026805,86,73.05,82.83,100.61,NA
2020-2021,Jan,04,ASSAM,0417,DIBRUGARH,2225524,196.97880430426,19,169,520.867962795,2414,0,8137,2220498,70085,9061,222409,29469,0,4894.778372795,113006,144905,141788,266580,555,198622,341149,10551,4373.91041,1086651,83,84.81,71.58,99.78,NA
2020-2021,Jan,04,ASSAM,0419,KARBI ANGLONG,2829793,204.395502601096,33,76,968.340044471,4414,0,14827,2829769,119697,11091,2236831,177116,0,6752.260614471,84775,112238,121735,233407,906,174849,317679,19241,5783.92057,1473626,74,95.27,86.99,104.2,NA
2020-2021,Jan,04,ASSAM,0423,CACHAR,4074320,185.525070524052,36,87,1947.318507817,6841,0,10189,4073433,244640,17016,41961,3601,0,9504.557953817,111358,118901,190846,241870,875,318377,392238,17030,7557.239446,1266216,71,54.57,62.39,104.14,NA
2020-2021,Jan,04,ASSAM,0432,MAJULI,1112684,208.053042969456,47,32,134.97745583,797,0,400,1112581,109874,6107,493219,31409,0,2449.73608183,23641,37244,31857,62724,1717,37105,69871,1197,2314.758626,454649,79,96.84,87.84,100,NA
2018-2019,Feb,04,ASSAM,0404,GOALPARA,836349,190.059211117242,24,99,176.839296007,632,0,9112,935196,28339,6758,281523,45602,0,1954.265436007,38552,54833,71577,176841,61,151291,318928,9744,1777.42614,406851,87,88.34,76.4,100.1,NA
2018-2019,Feb,04,ASSAM,0408,DARRANG,1550476,178.236476072849,27,44,460.293430555,2218,0,4793,872816,38650,5948,5018,786,7.95,2023.919911555,32281,47173,80084,187637,154,163633,332394,7011,1555.676481,363462,69,71.42,52.76,100.63,NA
2018-2019,Feb,04,ASSAM,0416,SIVASAGAR,1340376,153.300684318684,17,72,29.956286304,1064,0,1874,489538,23674,5322,55018,10660,12.31,792.731390304,28621,35956,58020,121017,68,105981,196291,2938,750.465104,206650,48,75.04,73.14,103.4,NA
2018-2019,Feb,04,ASSAM,0425,CHIRANG,1091141,171.604783623039,32,36,1679.90360987,1142,0,4216,1807124,108735,11856,924064,83590,18.1999,4799.21473987,55721,81207,82882,186167,491,111143,239209,5358,3101.11123,801941,73,52.99,59.45,105.15,NA
2018-2019,Feb,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,0,156.073803542,25,6,101.27072694,79,2,1175,210559,4928,546,1302,75,0,429.89816694,8303,9036,16670,24126,1,42877,60312,1254,328.62744,104092,75,91.8,90.85,136.56,NA
2018-2019,May,04,ASSAM,0401,DHUBRI,589330,236.632287414378,17,41,794.072939036,60,4,10105,289060,4156,2988,174,162,0,1478.082229036,16249,28673,98312,296465,0,201577,499755,10165,684.00929,111306,82,59.74,51.8,121.78,NA
2018-2019,May,04,ASSAM,0411,DHEMAJI,321399,145.870009547622,21,28,114.168175969,787,3,3387,357157,5165,11407,241672,164700,0,635.153125969,16912,30896,88803,342318,0,135536,460999,4174,520.98495,158774,48,84.05,64.93,100.13,NA
2018-2019,May,04,ASSAM,0413,NAGAON,647258,137.433928546367,13,35,7.2942692,390,23,7160,427522,21857,15762,8891,13081,0,594.8545492,30767,37279,158770,268895,0,246822,396047,7550,587.56028,142057,59,71.79,69.16,99.91,NA
2018-2019,May,04,ASSAM,0414,GOLAGHAT,356541,175.341581019025,10,17,0,1354,1,10668,182920,14460,12948,24073,33757,0,320.73482,17138,22752,117059,249917,0,167797,341064,12022,320.73482,71451,80,37.6,36.01,100.2,NA
2018-2019,May,04,ASSAM,0423,CACHAR,409260,280.696101065896,16,4,0.05934,471,94,7146,92692,6310,14810,897,3236,0,260.24217,5475,5548,139342,189216,0,256425,331484,7617,260.18283,17787,66,45.64,40.05,147.36,NA
2018-2019,May,04,ASSAM,0425,CHIRANG,205660,227.423706461873,12,1,122.559480215,95,6,3500,77346,2157,11572,50745,84333,0,298.462620215,6146,9322,82131,186915,0,109047,237855,3595,175.90314,38410,67,73.22,58.69,100.29,NA
2018-2019,May,04,ASSAM,0432,MAJULI,0,158.341820632336,11,9,47.276558746,113,0,2076,89035,10584,5973,38687,32933,0,188.256198746,7505,9916,27327,63537,0,36442,77325,2189,140.97964,31604,81,98.75,89.97,100.94,NA
2018-2019,March,04,ASSAM,0405,BARPETA,3454517,197.920018827747,36,2652,2360.865785289,10203,0,7945,3972860,111533,10346,48433,3802,27.64345,10251.594495289,109544,188938,149830,349226,1116,294466,627618,18148,7863.08526000001,1569279,69,59.73,59.61,120.4,NA
2018-2019,March,04,ASSAM,0411,DHEMAJI,1785552,182.240758218128,34,142,987.984865261,10053,0,4799,2228488,72632,11383,1179778,170044,27.571,5076.769293261,64229,121709,95955,347369,663,155840,499386,14852,4061.213428,1099369,76,63.7,67.44,100.3,NA
2018-2019,March,04,ASSAM,0416,SIVASAGAR,1403535,184.460899379507,20,89,40.697256009,1955,0,1077,731193,31890,5351,76070,10672,23.01,1412.472440009,36193,46619,58306,121373,151,106736,197459,3032,1348.765184,322605,47,73.56,76.22,102.36,NA
2018-2019,March,04,ASSAM,0418,TINSUKIA,1547449,191.733341807962,25,68,382.373263556,4110,1,2535,1235059,22694,2487,124706,15761,11.5291,2761.922257556,47856,59130,83993,142977,493,154419,231335,6645,2368.019894,511505,71,89.04,76.13,100.31,NA
2018-2019,March,04,ASSAM,0429,HOJAI,0,175.521212941605,35,122,559.380705548,2523,0,1574,1093342,132880,18141,23959,4604,0,2478.427845548,31119,41591,64968,113184,18,108674,182204,4097,1919.04714,386354,64,69.96,76.54,101.97,NA
2018-2019,March,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,0,186.886729240888,24,6,106.05653354,547,1,1007,262728,5865,546,1407,75,5,602.06029954,10711,11602,16733,24189,4,44101,61774,1554,491.003766,130471,72,91.28,90.36,135.92,NA
2018-2019,March,04,ASSAM,0432,MAJULI,0,175.571189897901,25,15,53.180343746,1573,0,1550,539769,63314,6079,237215,33248,0,1000.859199746,20975,31066,28068,64367,67,38407,80262,3123,947.678856,189060,85,83.07,64.85,107.19,NA
2018-2019,Jan,04,ASSAM,0402,KOKRAJHAR,2051765,177.027599212645,35,243,893.254897641,2273,5,6879,1550508,21377,5330,575073,119220,26.89365,3664.975635641,43519,78370,113830,320698,682,190910,489610,9152,2744.827088,655078,64,56.69,46.96,103.64,NA
2018-2019,Jan,04,ASSAM,0406,NALBARI,1607031,182.94920290502,32,35,941.362292593,2110,0,4393,1444809,43209,5350,22291,3425,15.14,3599.768841593,44386,54902,74675,137382,643,150073,251482,6503,2643.266549,494722,53,50.14,51.37,100.67,NA
2018-2019,Jan,04,ASSAM,0408,DARRANG,1469299,189.646022028647,25,36,460.293430555,1981,0,4919,731956,33456,5931,4066,793,7.95,1856.368867555,29047,41489,80035,188399,91,163026,332218,6900,1388.125437,299427,70,69.91,52.67,100.34,NA
2018-2019,Jan,04,ASSAM,0415,JORHAT,1475584,168.18054365098,18,37,240.182590029001,2415,0,2284,531775,37012,7720,70591,11891,18.1019,1152.626576029,29036,32169,73968,122213,25,132210,198255,4699,894.342086,244092,56,84.83,72.31,100.82,NA
2018-2019,Jan,04,ASSAM,0419,KARBI ANGLONG,1410722,191.183807604057,17,32,275.466828538,1151,0,10575,746128,23475,8978,613881,153297,20.25613,1722.198878538,43342,47585,102409,199744,80,151376,280227,11726,1426.47592,344871,81,68.06,47.22,107.69,NA
2018-2019,Jan,04,ASSAM,0424,BAKSA,1368974,167.71905803691,23,94,1666.760270886,2444,0,11123,1552736,132297,24218,737801,122132,32.69995,4303.694413886,66358,78607,151295,276798,55,232063,396215,13567,2604.234193,750730,80,64.72,61.22,105.44,NA
2018-2019,Jan,04,ASSAM,0425,CHIRANG,1034013,170.754976634096,28,33,1679.90360987,918,0,4347,1449976,88930,11814,744837,83609,18.1999,4174.00968987,50176,71734,82822,186114,266,110706,238461,5265,2475.90618,632686,73,58.83,65.05,105.24,NA
2018-2019,Jan,04,ASSAM,0427,UDALGURI,2694593,177.884373524697,33,44,1972.3093757764,2310,0,6761,2893474,112276,11346,1362563,102049,26.63153,7145.9790037764,85481,107381,122101,254682,103,168890,332660,9071,5147.038098,1320022,50,68.81,65.61,100.42,NA
2018-2019,Jan,04,ASSAM,0430,CHARAIDEO,0,176.376081314879,14,27,15.4798015,678,0,1393,203456,4445,1212,4682,2106,0,374.3275215,13773,16780,38215,74582,28,65518,114066,2071,358.84772,80200,54,74.75,67.77,107.04,NA
2018-2019,Jan,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,0,151.457152893879,24,3,101.27072694,61,4,741,153721,3533,532,1113,75,0,334.09217694,6350,6847,16626,24082,1,42718,60157,802,232.82145,74211,64,90.38,90.39,138.35,NA
2019-2020,Jan,04,ASSAM,0401,DHUBRI,2886205,196.213252897025,37,175,183.64964431,2722,0,8767,3027157,27666,3315,1156,180,0,6123.33286431,81361,162010,130948,353049,580,232196,542101,11489,5939.68322,1228917,80,42.92,73.75,109.15,NA
